SYNONYM,SYMBOL
TLDC1,MEAK7
KIAA1644,SHISAL1
KIAA1683,IQCN
KIAA1715,LNPK
KIAA1804,MAP3K21
KIAA1841,SANBR
KIAA1919,MFSD4B
KIAA2018,USF3
KIAA2022,NEXMIF
KIAA2026,BRD10
KIRREL,KIRREL1
KLRAP1,KLRA1P
LACE1,AFG1L
LARGE,LARGE1
LARS,LARS1
LDOC1L,RTL6
LECT1,CNMD
LHFP,LHFPL6
LINS,LINS1
LINC00893,EOLA1-DT
LINC00704,MANCR
LINC00894,EOLA2-DT
LINC00284,NRAD1
LINC00961,SPAAR
LINC00925,MIR9-3HG
FAM183CP,LINC02209
LINC00936,ATP2B1-AS1
LINC00634,SMIM45
LINC00883,DUBR
LINC00493,SMIM26
LINC00909,ZNF407-AS1
SMIM4,UQCC5
LINC00461,MIR9-2HG
LINC00669,MIR924HG
LINC00657,NORAD
MIR143HG,CARMN
MEF2BNB,BORCS8
LOH12CR1,BORCS5
LPPR1,PLPPR1
LPPR3,PLPPR3
LPPR4,PLPPR4
LPPR5,PLPPR5
LRMP,IRAG2
LRRC16A,CARMIL1
LRRC16B,CARMIL3
LRRC29,FBXL9P
LRRC48,DRC3
LYRM5,ETFRF1
MARCH11,MARCHF11
MARCH1,MARCHF1
MARCH2,MARCHF2
MARCH3,MARCHF3
MARCH4,MARCHF4
MARCH5,MARCHF5
MARCH6,MARCHF6
MARCH7,MARCHF7
MARCH8,MARCHF8
MARCH9,MARCHF9
MARS,MARS1
MESDC1,TLNRD1
MESDC2,MESD
METTL10,EEF1AKMT2
METTL12,CSKMT
METTL7A,TMT1A
METTL7B,TMT1B
MFI2,MELTF
MFSD4,MFSD4A
MFSD7,SLC49A3
LINC00638,VESTAR
MGEA5,OGA
MICALCL,MICAL2
MINA,RIOX2
MKL2,MRTFB
MLLT4,AFDN
MPP5,PALS1
MPP6,PALS2
MRE11A,MRE11
MRPS36,KGD4
MRVI1,IRAG1
MSL3P1,MSL3B
MTL5,TESMIN
